Date : 2024-05-29 20:36:44
Directory : c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new
Total : 183 files,  41413 codes, 4997 comments, 5422 blanks, all 51832 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| new\Results\eval2                                                                                                                        |          1 |          1 |          0 |          0 |          1 |
| new\Results\eval3                                                                                                                        |          1 |          1 |          0 |          0 |          1 |
| new\Results\eval31000steps                                                                                                               |          1 |          1 |          0 |          0 |          1 |
| new\Results\eval_results                                                                                                                 |          1 |          1 |          0 |          0 |          1 |
| new\Results\evaltrain3_centercrop                                                                                                        |          1 |          1 |          0 |          0 |          1 |
| new\Results\fivsr                                                                                                                        |          1 |          1 |          0 |          0 |          1 |
| new\Results\fivsr_centercrop                                                                                                             |          1 |          1 |          0 |          0 |          1 |
| new\Results\mode_false_eval                                                                                                              |          1 |          1 |          0 |          0 |          1 |
| new\Results\test                                                                                                                         |          2 |          2 |          0 |          0 |          2 |
| new\Results\test2                                                                                                                        |          1 |          1 |          0 |          0 |          1 |
| new\Results\train_fi                                                                                                                     |          3 |          3 |          0 |          0 |          3 |
| new\Results\train_fi2                                                                                                                    |          2 |          2 |          0 |          0 |          2 |
| new\Results\train_fi3                                                                                                                    |          3 |          3 |          0 |          0 |          3 |
| new\Results\train_result                                                                                                                 |          3 |          3 |          0 |          0 |          3 |
| new\Results\train_result2                                                                                                                |          4 |          4 |          0 |          0 |          4 |
| new\Results\train_result2 (Files)                                                                                                        |          3 |          3 |          0 |          0 |          3 |
| new\Results\train_result2\eval                                                                                                           |          1 |          1 |          0 |          0 |          1 |
| new\Results\train_result3                                                                                                                |          3 |          3 |          0 |          0 |          3 |
| new\Results\vsrfi                                                                                                                        |          1 |          1 |          0 |          0 |          1 |
| new\Results\vsrfi_centercrop                                                                                                             |          1 |          1 |          0 |          0 |          1 |
| new\ST_MFNet                                                                                                                             |         34 |      4,390 |        301 |      1,218 |      5,909 |
| new\ST_MFNet (Files)                                                                                                                     |          8 |        704 |         57 |        172 |        933 |
| new\ST_MFNet\cupy_module                                                                                                                 |          3 |        614 |         39 |        171 |        824 |
| new\ST_MFNet\data                                                                                                                        |          3 |        476 |         21 |        136 |        633 |
| new\ST_MFNet\losses                                                                                                                      |          5 |        412 |         10 |         97 |        519 |
| new\ST_MFNet\metrics                                                                                                                     |          1 |        102 |          2 |         36 |        140 |
| new\ST_MFNet\metrics\pytorch_ssim                                                                                                        |          1 |        102 |          2 |         36 |        140 |
| new\ST_MFNet\models                                                                                                                      |         12 |      2,003 |        170 |        583 |      2,756 |
| new\ST_MFNet\models (Files)                                                                                                              |          3 |        354 |         15 |         88 |        457 |
| new\ST_MFNet\models\cupy_module                                                                                                          |          3 |        614 |         39 |        171 |        824 |
| new\ST_MFNet\models\misc                                                                                                                 |          6 |      1,035 |        116 |        324 |      1,475 |
| new\ST_MFNet\models\misc (Files)                                                                                                         |          4 |        736 |         94 |        247 |      1,077 |
| new\ST_MFNet\models\misc\correlation                                                                                                     |          2 |        299 |         22 |         77 |        398 |
| new\ST_MFNet\trainers                                                                                                                    |          2 |         79 |          2 |         23 |        104 |
| new\iSeeBetter                                                                                                                           |         39 |      6,459 |      1,015 |      1,229 |      8,703 |
| new\iSeeBetter (Files)                                                                                                                   |         14 |      1,360 |        103 |        355 |      1,818 |
| new\iSeeBetter\SRGAN                                                                                                                     |         11 |        754 |         69 |        232 |      1,055 |
| new\iSeeBetter\SRGAN (Files)                                                                                                             |         10 |        700 |         69 |        208 |        977 |
| new\iSeeBetter\SRGAN\pytorch_ssim                                                                                                        |          1 |         54 |          0 |         24 |         78 |
| new\iSeeBetter\pyflow                                                                                                                    |         14 |      4,345 |        843 |        642 |      5,830 |
| new\iSeeBetter\pyflow (Files)                                                                                                            |          3 |         74 |          5 |         15 |         94 |
| new\iSeeBetter\pyflow\src                                                                                                                |         11 |      4,271 |        838 |        627 |      5,736 |
| new\metrics                                                                                                                              |          1 |        102 |          2 |         36 |        140 |
| new\metrics\pytorch_ssim                                                                                                                 |          1 |        102 |          2 |         36 |        140 |
| new\test                                                                                                                                 |          1 |          1 |          0 |          0 |          1 |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                                 | language         | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\Results\eval1000\metrics.json                                 | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\Results\eval_centercrop\metrics.json                          | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\Results\eval_results\metrics.json                             | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\Results\evaltrain1\metrics.json                               | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\Results\train1000\metrics.json                                | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\cupy_module\__init__.py                                       | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\cupy_module\adacof.py                                         | Python           |        348 |         17 |         86 |        451 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\cupy_module\softsplat.py                                      | Python           |        266 |         22 |         84 |        372 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\data\datasets.py                                              | Python           |         85 |          4 |         31 |        120 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\data\testsets.py                                              | Python           |        368 |         18 |         98 |        484 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\data\vfitransforms.py                                         | Python           |         38 |          2 |          9 |         49 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\evaluate.py                                                   | Python           |         66 |          4 |         18 |         88 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\losses\__init__.py                                            | Python           |         45 |          0 |         13 |         58 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\losses\adversarial.py                                         | Python           |         90 |          5 |         16 |        111 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\losses\charbonnier.py                                         | Python           |          8 |          0 |          3 |         11 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\losses\discriminator.py                                       | Python           |        211 |          1 |         51 |        263 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\losses\laplacianpyramid.py                                    | Python           |         55 |          3 |         13 |         71 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\metrics\pytorch_ssim\__init__.py                              | Python           |        102 |          2 |         36 |        140 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\models\__init__.py                                            | Python           |          1 |          0 |          0 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\models\feature.py                                             | Python           |        105 |          2 |         27 |        134 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\models\misc\__init__.py                                       | Python           |         27 |          0 |         11 |         38 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\models\misc\correlation\README.md                             | Markdown         |          1 |          0 |          0 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\models\misc\correlation\correlation.py                        | Python           |        298 |         22 |         77 |        397 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\models\misc\gridnet.py                                        | Python           |        185 |         37 |         68 |        290 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\models\misc\pwcnet.py                                         | Python           |        204 |         53 |         82 |        339 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\models\misc\resnet_3D.py                                      | Python           |        320 |          4 |         86 |        410 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\models\stmfnet.py                                             | Python           |        251 |          9 |         61 |        321 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\tempCodeRunnerFile.py                                         | Python           |          1 |          0 |          0 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\trainers\__init__.py                                          | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\trainers\quintuplet.py                                        | Python           |         81 |          2 |         21 |        104 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\STMFNet\utility.py                                                    | Python           |        169 |         13 |         51 |        233 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\dataset.py                                                            | Python           |        192 |          7 |         44 |        243 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\DatasetFetcher.py                                          | Python           |         63 |         17 |         20 |        100 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\Results\netG_epoch_4_1_APITLoss_centercrop\metrics.json    | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\Results\netG_epoch_4_1_APITLoss_result\metrics.json        | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\Results\netG_epoch_4_1_FullDataSet_centercrop\metrics.json | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\Results\netG_epoch_4_1_FullDataSet_result\metrics.json     | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\Results\netG_epoch_4_1_centercrop\metrics.json             | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\Results\netG_epoch_4_1_result\metrics.json                 | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\base_networks.py                                           | Python           |        297 |          4 |         60 |        361 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\data.py                                                    | Python           |         19 |          0 |          8 |         27 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\dataset.py                                                 | Python           |        260 |          8 |         59 |        327 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\dbpns.py                                                   | Python           |         44 |          5 |          9 |         58 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\iSeeBetterTest.py                                          | Python           |        167 |         10 |         30 |        207 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\logger.py                                                  | Python           |         17 |          2 |          6 |         25 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\metrics\pytorch_ssim\__init__.py                           | Python           |        102 |          2 |         36 |        140 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\pyflow.cpp                                                 | C++              |      9,553 |      1,228 |        382 |     11,163 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\pyflow\README.md                                           | Markdown         |         10 |          0 |          4 |         14 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\pyflow\demo.py                                             | Python           |         45 |          3 |          7 |         55 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\pyflow\setup.py                                            | Python           |         19 |          2 |          4 |         25 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\pyflow\src\Coarse2FineFlowWrapper.h                        | C++              |          6 |          6 |          2 |         14 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\pyflow\src\GaussianPyramid.h                               | C++              |         18 |          2 |          5 |         25 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\pyflow\src\Image.h                                         | C++              |      2,198 |        313 |        341 |      2,852 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\pyflow\src\ImageIO.h                                       | C++              |         15 |        323 |         10 |        348 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\pyflow\src\ImageProcessing.h                               | C++              |        527 |         95 |         68 |        690 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\pyflow\src\Matrix.h                                        | C++              |        479 |         20 |         61 |        560 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\pyflow\src\NoiseModel.h                                    | C++              |        174 |         21 |          7 |        202 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\pyflow\src\OpticalFlow.h                                   | C++              |         87 |          6 |         20 |        113 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\pyflow\src\Stochastic.h                                    | C++              |        364 |         13 |         37 |        414 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\pyflow\src\Vector.h                                        | C++              |        370 |         32 |         63 |        465 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\pyflow\src\project.h                                       | C++              |         33 |          7 |         13 |         53 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\rbpn.py                                                    | Python           |        102 |         15 |         21 |        138 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\utility.py                                                 | Python           |        170 |         13 |         51 |        234 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\utils.py                                                   | Python           |         44 |          4 |         10 |         58 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\iSeeBetter\vfitransform.py                                            | Python           |         38 |          2 |          7 |         47 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\Results\FIVSRNet_result\metrics.json                              | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\Results\eval2\metrics.json                                        | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\Results\eval31000steps\metrics.json                               | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\Results\eval3\metrics.json                                        | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\Results\eval_results\metrics.json                                 | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\Results\evaltrain3_centercrop\metrics.json                        | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\Results\fivsr\metrics.json                                        | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\Results\fivsr_centercrop\metrics.json                             | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\Results\mode_false_eval\metrics.json                              | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\Results\test2\metrics.json                                        | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\Results\test\train_loss.json                                      | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\Results\test\train_psnr.json                                      | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\Results\train_fi2\train_loss.json                                 | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\Results\train_fi2\train_psnr.json                                 | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\Results\train_fi3\metrics_epoch0.json                             | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\Results\train_fi3\train_loss.json                                 | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\Results\train_fi3\train_psnr.json                                 | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\Results\train_fi\metrics_epoch0.json                              | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\Results\train_fi\train_loss.json                                  | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\Results\train_fi\train_psnr.json                                  | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\Results\train_result2\eval\metrics.json                           | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\Results\train_result2\metrics_epoch0.json                         | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\Results\train_result2\train_loss.json                             | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\Results\train_result2\train_psnr.json                             | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\Results\train_result3\metrics_epoch0.json                         | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\Results\train_result3\train_loss.json                             | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\Results\train_result3\train_psnr.json                             | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\Results\train_result\metrics_epoch0.json                          | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\Results\train_result\train_loss.json                              | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\Results\train_result\train_psnr.json                              | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\Results\vsrfi\metrics.json                                        | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\Results\vsrfi_centercrop\metrics.json                             | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\ST_MFNet\.dockerignore                                            | Ignore           |          2 |          0 |          1 |          3 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\ST_MFNet\README.md                                                | Markdown         |        126 |          0 |         23 |        149 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\ST_MFNet\cog.yaml                                                 | YAML             |         49 |          7 |          7 |         63 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\ST_MFNet\cupy_module\__init__.py                                  | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\ST_MFNet\cupy_module\adacof.py                                    | Python           |        348 |         17 |         86 |        451 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\ST_MFNet\cupy_module\softsplat.py                                 | Python           |        266 |         22 |         84 |        372 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\ST_MFNet\data\datasets.py                                         | Python           |         85 |          3 |         32 |        120 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\ST_MFNet\data\testsets.py                                         | Python           |        368 |         18 |         98 |        484 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\ST_MFNet\data\vfitransforms.py                                    | Python           |         23 |          0 |          6 |         29 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\ST_MFNet\evaluate.py                                              | Python           |         40 |          1 |         14 |         55 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\ST_MFNet\interpolate_yuv.py                                       | Python           |        106 |         11 |         20 |        137 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\ST_MFNet\losses\__init__.py                                       | Python           |         45 |          0 |         13 |         58 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\ST_MFNet\losses\adversarial.py                                    | Python           |         93 |          6 |         17 |        116 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\ST_MFNet\losses\charbonnier.py                                    | Python           |          8 |          0 |          3 |         11 |
| c:\Users\Marcelio Darel Liem\thesis\Video-Enhancement-With-GAN\new\new\ST_MFNet\losses\discriminator.py                                  | Python           |        211 |          1 |         51 |        263 |
